,Left-Right,Authoritarian-Libertarian,Socialist-Capitalist,Planned-Laissez Faire,Authoritarian-Libertarian,Autocracy-Democracy,Universal-Particular,Nationalist-Globalist,Progress-Tradition,Conserve-Reform,Acceleration-Deceleration,Transhumanism-Primitivism,Common Law-Civil Law,Punishment-Rehabilitation,Equality-Hierarchy,Monocultural-Multicultural,Compromise-Persist,Transitional-Direct,Moderate-Radical,Politicized-Apolitical
Tim Waltz,0.3,0.4,0.3,0.4,0.4,0.9,0.7,0.3,0.8,0.7,0.6,0.5,0.5,0.8,0.8,0.8,0.6,0.6,0.4,0.9
Kamala Harris,0.3,0.6,0.4,0.7,0.6,0.1,0.7,0.7,0.8,0.8,0.7,0,0.5,0.6,0.8,0.8,0.5,0.6,0.6,0.9
Donald Trump,0.8,0.7,0.8,0.6,0.7,0.4,0.3,0.9,0.8,0.6,0.5,0.2,0.7,0.8,0.8,0.2,0.2,0.7,0.8,1
JD Vance,0.8,0.7,0.3,0.4,0.7,0.6,0.3,0.8,0.8,0.3,0.4,0.2,0.6,0.7,0.7,0.2,0.3,0.6,0.7,0.9
Joe Biden,0.45,0.6,0.3,0.4,0.6,0.1,0.8,0.7,0.3,0.7,0.6,0.2,0.5,0.6,0.3,0.8,0.7,0.4,0.3,0.9
Barack Obama,0.4,0.5,0.4,0.4,0.5,0.9,0.7,0.7,0.7,0.7,0.6,0.5,0.5,0.6,0.7,0.8,0.6,0.5,0.4,0.9
Mitt Romney,0.7,0.6,0.8,0.7,0.6,0.2,0.6,0.6,0.6,0.4,0.6,0.3,0.4,0.6,0.6,0.4,0.5,0.4,0.3,0.9
george bush 2,0.8,0.6,0.8,0.7,0.6,0.2,0.7,0.6,0.7,0.4,0.6,0.5,0.3,0.3,0.7,0.4,0.5,0.6,0.6,0.9
Bill Clinton,0.45,0.55,0.35,0.4,0.45,0.15,0.7,0.65,0.7,0.65,0.6,0.5,0.4,0.55,0.6,0.7,0.75,0.4,0.4,0.1
Gerald Ford,0.6,0.4,0.7,0.7,0.4,0.1,0.6,0.4,0.5,0.4,0.5,0,0.3,0.4,0.4,0.6,0.7,0.3,0.2,0.8
